OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
1509,57F2DC28-80C3-45DD-AE7E-79F4760B3E8F,ABQ,ALBUQUERQUE,35.04379556,-105.1836881,H24,,5749,113.2,13,,4,,D6118342-AE37-4ED7-8F67-918DB4ED74B2,0,079X,1,0,13,0,0,0,1,1,0,0
1510,F18894C5-C1E0-4A02-B6E8-C12FD32B2AC1,ACH,ANTON CHICO,35.11170611,-104.9600711,H24,,5450,117.8,12,,3,,66B9F170-AC36-42AB-9387-9EA0C9CD2A8C,0,,1,1,12,0,0,0,1,1,0,0
1511,2E4C46E0-AF19-44C3-8E1F-086084CBC50E,ACH,ANTON CHICO,35.11170611,-104.9600711,H24,,5450,117.8,12,,4,,66B9F170-AC36-42AB-9387-9EA0C9CD2A8C,0,125X,1,1,12,0,0,0,1,1,0,0
1512,F97D907E-2D70-46A5-AC57-3474156F1B81,ATS,ARTESIA,32.85270056,-103.5394822,H24,,3504.1,414,9,,1,,C1A5F00E-A511-409A-9E62-75DA08E57595,,,1,0,9,0,0,0,1,0,0,0
1513,67475930-930D-4BB5-9CA5-99F569A5E6F1,CNM,CARLSBAD,32.25661333,-103.7739625,H24,,3257,116.3,12,,3,,3D355171-E905-412A-8B2C-38CB1B346CD7,1,,1,0,12,0,0,0,1,0,0,0
1514,E5CEC7FF-9ACD-4439-8BC9-F61C00EE010A,CNM,CARLSBAD,32.25661333,-103.7739625,H24,,3257,116.3,12,,4,,3D355171-E905-412A-8B2C-38CB1B346CD7,1,110X,1,0,12,0,0,0,1,0,0,0
1515,1802C368-2325-4165-8E12-05112EB16900,CIM,CIMARRON,36.49139694,-103.1280003,H24,,6550,116.4,13,,3,,6864C2A3-FD80-421B-938E-F118EFC8AD7E,0,,1,1,13,0,0,0,1,1,0,0
1516,6CC5EF74-87C1-4AEE-9A66-71AF0077B6E2,CIM,CIMARRON,36.49139694,-103.1280003,H24,,6550,116.4,13,,4,,6864C2A3-FD80-421B-938E-F118EFC8AD7E,0,111X,1,1,13,0,0,0,1,1,0,0
1517,E697F4C0-280B-4144-B586-8651FEE35A79,CVS,CANNON,34.38058611,-102.6775758,H24,,4305.3,111.6,7,,4,,42DA065A-84B5-4090-9EE8-AD7A9BD04C67,1,053X,1,1,7,0,0,0,1,0,0,0
1518,842AEE76-25C6-4563-B913-3A3A027C8348,CUS,COLUMBUS,31.81910056,-106.4255061,H24,,4008,111.2,12,,3,,611CEBF5-E641-467C-9F74-C3D4993A38B5,1,,1,0,12,0,0,0,1,0,0,0
1519,B2BAA740-8F92-45BE-97A2-16FD6F18B586,CUS,COLUMBUS,31.81910056,-106.4255061,H24,,4008,111.2,12,,2,,611CEBF5-E641-467C-9F74-C3D4993A38B5,1,049X,1,0,12,0,0,0,1,0,0,0
1520,A699B549-BF6C-4228-9717-644AEF124453,CNX,CORONA,34.36701528,-104.3219953,H24,,6412,115.5,13,,3,,C25EBF3B-F513-4E52-ACB8-FD6715E08AD9,0,,1,1,13,0,0,0,1,1,0,0
1521,77CE636E-BAF3-446A-8A71-28BD6F24C984,CNX,CORONA,34.36701528,-104.3219953,H24,,6412,115.5,13,,4,,C25EBF3B-F513-4E52-ACB8-FD6715E08AD9,0,102X,1,1,13,0,0,0,1,1,0,0
1522,F1EF40A8-61EB-4E67-8CC2-83E9E401AE3F,DMN,DEMING,32.27555139,-106.3944986,H24,,4210,108.6,12,,3,,8742DEB9-B639-4C74-83FC-EFB80BC009B2,2,,1,0,12,0,0,0,1,1,0,0
1523,3FE4C6FB-3A57-421F-AC2A-DE6EBC2209EC,DMN,DEMING,32.27555139,-106.3944986,H24,,4210,108.6,12,,4,,8742DEB9-B639-4C74-83FC-EFB80BC009B2,2,023X,1,0,12,0,0,0,1,1,0,0
1524,F6FCC92E-FC8B-4C90-92C6-0E88CB3023D1,RSK,RATTLESNAKE,36.74839278,-107.9011008,H24,,5823,115.3,14,,3,,6E8F1ED6-C82D-44D3-B475-20C388A624F0,0,,1,0,14,0,0,0,1,1,0,0
1525,56186B35-1A01-4FAD-97FF-A87E144499AC,RSK,RATTLESNAKE,36.74839278,-107.9011008,H24,,5823,115.3,14,,4,,6E8F1ED6-C82D-44D3-B475-20C388A624F0,0,100X,1,0,14,0,0,0,1,1,0,0
1526,E950FC1F-DDA7-4D44-928B-555D9A6A9A1A,GUP,GALLUP,35.47599917,-107.1273883,H24,,7053,115.1,14,,3,,EC96CA82-31A0-45E0-98B0-D868E6CC0557,0,,1,1,14,0,0,0,1,1,0,0
1527,C0075A4E-CD84-4FF4-98B6-2ED595A23991,GUP,GALLUP,35.47599917,-107.1273883,H24,,7053,115.1,14,,4,,EC96CA82-31A0-45E0-98B0-D868E6CC0557,0,098X,1,1,14,0,0,0,1,1,0,0
1528,6C682823-F9C4-457A-AC87-BF0EA3388A74,HOB,HOBBS,32.6382375,-102.7307011,H24,,3663.5,111,11,,3,,C55D2DCB-F53F-431F-8298-C1833E3E91CD,1,,1,0,11,0,0,0,1,0,0,0
1529,6E5E1CE4-3600-43AB-B03B-EC3EAAD4E1AD,HOB,HOBBS,32.6382375,-102.7307011,H24,,3663.5,111,11,,4,,C55D2DCB-F53F-431F-8298-C1833E3E91CD,1,047X,1,0,11,0,0,0,1,0,0,0
1530,B73DD482-B443-461C-82E6-E1868481188D,FTI,FORT UNION,35.65754944,-104.8644036,H24,,6876,117.3,13,,3,,F8A16A25-B6C3-4648-9729-9C663C73E205,0,,1,0,13,0,0,0,1,1,0,0
1531,4DF542B7-08B2-43B1-94A0-871C94FFBC17,FTI,FORT UNION,35.65754944,-104.8644036,H24,,6876,117.3,13,,4,,F8A16A25-B6C3-4648-9729-9C663C73E205,0,120X,1,0,13,0,0,0,1,1,0,0
1532,D515B55F-A77F-4FB8-BE59-333E48C179A5,OTO,OTTO,35.07226861,-104.0639192,H24,,6272.8,114,13,,3,,E0C28550-57F1-40A9-A264-D6D0C922CFBC,1,,1,0,13,0,0,0,1,0,0,0
1533,EA3B015A-E5E4-4B2B-A115-D35BCD630134,PIO,PINON,32.52920222,-104.6947592,H24,,6578,110.4,12,,3,,E09DBC93-DA4F-4B57-8E47-E986E93D2795,1,,1,0,12,0,0,0,1,0,0,0
1534,F7694D09-5188-4BDA-951E-4963D0EAB8AB,PIO,PINON,32.52920222,-104.6947592,H24,,6578,110.4,12,,2,,E09DBC93-DA4F-4B57-8E47-E986E93D2795,1,041X,1,0,12,0,0,0,1,0,0,0
1535,68090285-1959-43C7-8524-FCD47859461B,CME,CHISUM,33.33747861,-103.3787544,H24,,3772,116.1,12,,3,,569F2872-B88F-4F52-B61F-741A55E97790,0,,1,0,12,0,0,0,1,1,0,0
