OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
13983,E3DA02DE-3E26-41F4-86B4-44A5D5A4480F,D9B97076-C7E5-47CA-A617-6BFB9D238BE6,H1,65,65,FT,CONC,0,OTHER,0,0,0,0,0,0,4.20955075242091e-08,0.000828726000008828
13984,EE8C8CF1-AB84-4D54-B207-769E55A1891F,F1A2B91A-EC0B-4DC7-A309-547DED0B263C,H1,40,40,FT,CONC,,,0,0,0,0,0,0,1.59407136379741e-08,0.000509977999968214
13985,288CF746-A866-4A75-BAD8-ECB59AA178E9,8361D83E-E265-4FC2-8537-49D1FB50098B,H1,40,40,FT,ASPH,,,0,0,0,0,0,0,1.55960151460022e-08,0.000503675999993902
13986,E5E0DF50-A55C-464A-899B-1358B8851603,FD1473A3-52F0-4EAD-B1CB-EFA722193EF5,H1,50,50,FT,GRASS,,,0,0,0,0,0,0,2.42639544012491e-08,0.000628062000039799
13987,9B87226D-E57F-4396-A81F-379EB99591B0,1B7E99BE-F0BB-4BEB-9E05-37A47C37EA0E,06/24,1700,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13988,C93EDE9D-B6F0-491B-9668-4EA012CE7B8D,D1DB0FEF-6162-4B38-92B5-3E8007FA4C15,10/28,3497,65,FT,ASPH,2,LIM,0,0,1,0,0,0,2.24426753447915e-06,0.0255132698172135
13989,B49D8DA5-B1EA-44C1-AA54-BEEC9946A63A,F4073196-A152-48E7-9C15-4E99037A8B3C,NE/SW,1500,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13990,514757AD-CD6D-458D-BE7B-2C34FFE328A4,54C709E7-1CB1-446E-BDC7-548E35477851,10/28,3000,300,FT,GRASS,2,LIL,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13991,9E44A29D-863A-49EA-9C0E-7A39F32F4124,55871927-EB75-4846-9E84-AE4897056B6F,17/35,2400,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13992,88109DBB-1686-45FB-A93E-4EA40F73ED32,E99D4980-2A29-443A-9292-DAA2732151C3,H1,40,40,FT,CONC,,,0,0,0,0,0,0,1.57683643919881e-08,0.000506818000076237
13993,4C9C0498-5840-45F6-9B07-CB1779D297BA,4BC313BA-DABA-4B86-BDC9-2B457CB76D90,10/28,5498,100,FT,ASPH,2,LIM,0,0,1,1,0,0,5.41287477062724e-06,0.039844989960221
13994,E81C4F1C-7242-4702-9E33-623B4E084CB4,07DE1D3E-380A-482C-896D-9B64D94DAA1E,06/24,3460,90,FT,GRASS,3,OTHER,0,0,0,0,0,0,3.06756464851787e-06,0.0242403555236563
13995,D0BEAB6A-F3BA-4751-934A-FA3549C40885,EE00FBD0-F98C-4150-81FB-2DBD3BC76E84,15/33,2750,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13996,0C8F2C9B-218D-4DCC-B343-C8E68A7C3298,145A93A5-C04F-4C64-8E6F-9250E433D9C0,10/28,4001,65,FT,ASPH,2,LIM,0,0,1,0,0,0,2.60042475019873e-06,0.0292943018879151
13997,9E548C26-3156-48E0-98B5-CF01841F7F58,2C7434A0-1E64-433E-9059-4773E0E78B75,17/35,2400,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
13998,BDE6BEB3-86F0-4D5A-A383-6BB64D79E6DA,3471F9FB-A0BC-409E-A44A-1EE768DF4976,11/29,2000,300,FT,GRASS,,,0,0,0,0,0,0,0.000275651333054373,0.668320573999949
